food,expenses,label
511,2547,최상위
760,1475,하위
751,2865,상위
701,1539,중위
676,2408,상위
685,1156,하위
533,2418,최상위
509,1554,중위
535,1802,상위
506,2202,최상위
721,1222,하위
755,2925,상위
598,1416,중위
518,2880,최상위
548,2899,최상위
759,1771,중위
621,1520,중위
743,2524,상위
558,2800,최상위
572,1220,중위
661,1509,중위
608,1580,중위
790,1263,하위
554,1691,중위
768,2203,중위
777,2270,중위
627,2984,최상위
638,1164,하위
540,1725,중위
735,1760,중위
753,1659,중위
695,2362,상위
523,1043,하위
617,1565,중위
746,1905,중위
658,2497,상위
612,1046,하위
541,1568,중위
693,1614,중위
790,2293,중위
548,1944,상위
703,1950,중위
631,1630,중위
637,1397,중위
680,1454,중위
590,2758,최상위
689,2710,상위
796,1018,극빈층
652,2620,최상위
558,2414,최상위
696,1393,중위
721,2120,중위
517,2297,최상위
605,1847,중위
545,1442,중위
722,1108,하위
569,2983,최상위
631,1161,하위
720,2085,중위
520,2189,최상위
614,2025,중위
594,2419,최상위
684,1554,중위
643,2971,최상위
742,1601,중위
598,2056,상위
780,1515,하위
531,1938,상위
528,2121,최상위
769,1140,하위
553,2559,최상위
729,1347,하위
796,1071,극빈층
700,1978,중위
651,2203,상위
759,1438,하위
725,1976,중위
571,2932,최상위
583,2881,최상위
659,2990,최상위
670,2765,최상위
529,1914,상위
761,2644,상위
793,1612,중위
572,2533,최상위
674,1895,중위
670,1786,중위
669,1553,중위
555,2569,최상위
519,1925,상위
610,1336,중위
503,2344,최상위
746,2485,중위
518,2142,최상위
722,1248,하위
539,2727,최상위
730,2051,중위
601,1013,하위
750,2602,상위
777,2801,상위
697,1819,중위
769,2154,중위
784,2213,중위
788,1087,극빈층
527,2206,최상위
617,2490,최상위
719,1808,중위
655,2614,상위
725,2778,상위
791,2973,상위
722,1771,중위
792,1478,하위
757,1235,하위
544,1513,중위
617,1498,중위
667,1626,중위
752,2540,상위
750,2789,상위
687,1082,하위
791,2253,중위
777,1232,하위
645,2917,최상위
651,1140,하위
738,1618,중위
592,2481,최상위
778,1614,중위
707,1479,중위
597,2697,최상위
624,1351,중위
642,2991,최상위
549,1273,중위
508,2363,최상위
792,1190,하위
622,2771,최상위
708,1477,중위
691,2101,중위
531,1209,중위
659,2416,상위
603,1541,중위
507,2814,최상위
712,2278,중위
756,1115,하위
705,2713,상위
635,2901,최상위
538,2390,최상위
681,2821,최상위
547,2836,최상위
597,1785,중위
749,2198,중위
774,1789,중위
526,2616,최상위
650,2413,상위
520,1710,중위
588,2433,최상위
590,1031,하위
729,2553,상위
669,1075,하위
687,2066,중위
728,1550,중위
704,2839,최상위
513,2543,최상위
651,2848,최상위
786,2375,중위
647,2007,중위
621,1756,중위
760,2569,상위
663,1995,중위
567,2169,상위
611,1602,중위
658,1769,중위
521,1786,상위
630,1824,중위
690,1081,하위
636,1796,중위
591,1930,중위
544,2445,최상위
587,1083,하위
731,1120,하위
539,2320,최상위
664,2785,최상위
686,1602,중위
637,2770,최상위
561,1922,상위
659,2861,최상위
645,1318,중위
599,2441,최상위
692,1526,중위
641,2776,최상위
557,2099,상위
632,1872,중위
770,1698,중위
513,2019,상위
692,2766,상위
699,2414,상위
535,1359,중위
587,1621,중위
698,2638,상위
680,1878,중위
687,1344,하위
732,1239,하위
631,2898,최상위
524,1253,중위
548,1441,중위
762,1442,하위
711,1025,하위
707,2419,상위
625,2310,상위
757,2064,중위
798,2719,상위
568,2339,최상위
794,1033,극빈층
649,2501,상위
713,1735,중위
762,1396,하위
749,2328,중위
790,2196,중위
542,2374,최상위
772,2268,중위
663,2529,상위
713,2766,상위
778,2166,중위
705,1344,하위
565,2756,최상위
619,2266,상위
599,1716,중위
738,1570,중위
736,1465,하위
800,2380,중위
741,1308,하위
596,1980,중위
598,1930,중위
750,1077,하위
610,2705,최상위
539,1304,중위
637,1710,중위
717,2780,상위
789,2460,중위
748,2068,중위
537,2339,최상위
581,2173,상위
570,1469,중위
578,1179,중위
525,1569,중위
513,2970,최상위
790,2138,중위
538,1570,중위
686,1501,중위
742,1012,극빈층
745,2471,중위
657,1288,하위
764,1062,극빈층
649,1981,중위
602,1646,중위
604,2969,최상위
537,1726,중위
589,2987,최상위
770,2295,중위
717,2314,중위
764,1144,하위
772,2092,중위
718,1856,중위
703,2023,중위
740,1414,하위
671,2985,최상위
788,1028,극빈층
548,2165,상위
785,2098,중위
616,1483,중위
678,2464,상위
683,1639,중위
756,2511,중위
507,2813,최상위
766,2798,상위
582,1965,상위
657,1209,하위
757,1861,중위
529,2001,상위
783,2484,중위
792,2240,중위
511,1844,상위
632,2233,상위
541,1482,중위
670,2814,최상위
545,2640,최상위
597,2835,최상위
721,2057,중위
584,1952,상위
611,1174,하위
593,2825,최상위
778,1251,하위
648,2628,최상위
605,2181,상위
606,2025,상위
548,1987,상위
773,1854,중위
738,2761,상위
538,1341,중위
659,1042,하위
682,1494,중위
677,2984,최상위
557,2538,최상위
673,1192,하위
743,1431,하위
714,1564,중위
630,1497,중위
658,2989,최상위
682,1646,중위
587,2869,최상위
692,2214,중위
541,1017,하위
634,1928,중위
762,1257,하위
687,1590,중위
775,2204,중위
509,1978,상위
547,2748,최상위
662,2245,상위
621,1046,하위
701,2723,상위
782,1784,중위
796,2441,중위
589,1602,중위
622,1628,중위
655,2278,상위
751,1708,중위
667,1051,하위
616,1565,중위
580,1012,하위
768,2622,상위
698,2033,중위
642,2465,상위
788,1433,하위
539,1685,중위
712,1343,하위
760,2541,상위
714,1373,하위
505,2566,최상위
618,2718,최상위
736,1903,중위
523,2056,상위
539,2982,최상위
658,2989,최상위
723,2318,중위
596,2557,최상위
798,2631,중위
561,2377,최상위
534,2091,상위
724,1690,중위
569,2920,최상위
533,1116,중위
747,1031,극빈층
691,2288,중위
753,1056,극빈층
739,1522,중위
651,1141,하위
703,2907,최상위
790,1660,중위
574,1071,하위
732,1887,중위
587,1996,상위
762,2159,중위
592,1720,중위
501,2264,최상위
610,2325,상위
767,1689,중위
759,2732,상위
682,1254,하위
527,1553,중위
580,1402,중위
669,1682,중위
553,2095,상위
761,1869,중위
591,1863,중위
795,1931,중위
774,1401,하위
762,2084,중위
521,2292,최상위
576,2837,최상위
539,1153,중위
701,1977,중위
680,1507,중위
547,2806,최상위
727,2586,상위
768,1852,중위
557,1984,상위
708,1801,중위
733,2296,중위
544,1393,중위
719,2158,중위
540,1844,상위
789,1486,하위
790,2350,중위
772,1251,하위
659,2916,최상위
687,1806,중위
512,2640,최상위
650,2638,최상위
765,2607,상위
747,2773,상위
599,2243,상위
700,1375,하위
630,1426,중위
776,2468,중위
654,2327,상위
507,1914,상위
720,2032,중위
525,1888,상위
552,1986,상위
642,2111,중위
601,1886,중위
501,1904,상위
754,2409,중위
563,1996,상위
748,2607,상위
515,1763,상위
526,2530,최상위
685,1734,중위
633,1134,하위
510,2870,최상위
661,2589,상위
575,1796,중위
790,1139,하위
621,1291,중위
566,1506,중위
633,2457,상위
798,1370,하위
756,1398,하위
668,1348,중위
751,2139,중위
765,2137,중위
559,2509,최상위
618,1227,하위
534,2514,최상위
516,1350,중위
759,2601,상위
610,1856,중위
501,1076,중위
674,1189,하위
561,2584,최상위
609,1817,중위
500,1500,중위
731,2799,상위
676,2663,상위
513,1927,상위
640,2707,최상위
593,2535,최상위
512,1400,중위
570,1328,중위
530,1410,중위
710,2269,중위
735,2149,중위
573,1619,중위
614,2498,최상위
509,2714,최상위
663,2929,최상위
771,2119,중위
660,2741,최상위
679,1239,하위
604,2237,상위
779,1144,하위
576,1934,상위
696,2753,상위
570,1564,중위
799,1315,하위
717,1048,하위
600,2332,상위
650,1036,하위
749,2480,중위
515,1031,중위
613,2493,최상위
787,2403,중위
780,2234,중위
642,2339,상위
792,2970,상위
537,1711,중위
524,1202,중위
706,1008,극빈층
559,2900,최상위
551,1482,중위
635,2605,최상위
548,1118,중위
561,1099,하위
632,1960,중위
794,1861,중위
501,1915,상위
654,1370,중위
665,2034,중위
765,1654,중위
501,2194,최상위
761,1631,중위
704,2874,최상위
797,2854,상위
508,1976,상위
558,2394,최상위
663,2703,최상위
690,1661,중위
558,1632,중위
763,1086,극빈층
767,1779,중위
653,2411,상위
737,1564,중위
798,1446,하위
551,2346,최상위
503,2346,최상위
561,2403,최상위
715,1229,하위
762,1051,극빈층
731,1987,중위
601,2392,상위
702,2061,중위
597,1858,중위
757,2789,상위
727,1853,중위
654,1099,하위
646,1642,중위
779,2878,상위
793,2314,중위
717,1981,중위
701,2641,상위
610,2016,중위
767,1240,하위
771,2364,중위
581,1928,중위
592,1704,중위
680,2709,상위
627,1929,중위
518,2456,최상위
556,2688,최상위
694,1512,중위
579,2814,최상위
596,1689,중위
636,1213,하위
631,2315,상위
670,2681,최상위
687,1278,하위
682,1359,하위
780,2546,중위
540,2196,최상위
611,1220,하위
552,2795,최상위
662,2801,최상위
503,1977,상위
590,2206,상위
642,2966,최상위
615,2162,상위
516,1706,중위
550,1519,중위
584,1545,중위
775,1356,하위
574,2928,최상위
513,1670,중위
644,1264,하위
730,1382,하위
670,2334,상위
523,2111,최상위
786,1175,하위
658,2931,최상위
531,2334,최상위
555,2222,최상위
577,1795,중위
672,2304,상위
673,2631,상위
692,2565,상위
574,2689,최상위
621,2253,상위
712,2383,상위
668,2112,중위
562,2449,최상위
698,1326,하위
547,2089,상위
615,1447,중위
550,1100,중위
545,1942,상위
606,2374,상위
707,1066,하위
631,2376,상위
569,2358,최상위
721,2550,상위
655,2772,최상위
707,2068,중위
539,2336,최상위
763,2640,상위
719,2312,중위
500,1759,상위
500,2843,최상위
661,2798,최상위
527,2376,최상위
578,1669,중위
544,1780,중위
574,1061,하위
668,1207,하위
571,2553,최상위
770,2973,상위
745,1095,하위
604,2274,상위
643,1092,하위
753,2300,중위
587,1208,중위
597,1936,중위
765,2500,중위
604,2529,최상위
576,1310,중위
529,1465,중위
717,1973,중위
705,2492,상위
791,2337,중위
679,2852,최상위
758,1351,하위
675,1501,중위
704,1597,중위
680,2360,상위
747,2962,상위
503,1161,중위
619,2618,최상위
523,1665,중위
503,2909,최상위
780,1856,중위
617,2356,상위
657,1072,하위
592,1928,중위
781,1230,하위
736,2161,중위
770,1086,극빈층
589,1846,중위
580,1771,중위
624,1345,중위
539,1848,상위
766,1344,하위
611,2191,상위
555,2362,최상위
774,1201,하위
709,1009,극빈층
725,2894,상위
597,1861,중위
771,2949,상위
713,2154,중위
663,1233,하위
731,1727,중위
675,2146,중위
539,2036,상위
592,2353,상위
519,2339,최상위
660,1635,중위
644,2886,최상위
695,2643,상위
657,2115,중위
635,2460,상위
615,2243,상위
770,2727,상위
741,2258,중위
569,1780,중위
562,2336,최상위
800,2071,중위
571,1506,중위
516,2139,최상위
645,1799,중위
739,1630,중위
511,2400,최상위
781,2693,상위
518,1813,상위
653,1679,중위
523,1300,중위
722,1493,중위
663,2252,상위
525,2303,최상위
701,2188,중위
772,2565,중위
653,1749,중위
542,1708,중위
580,1544,중위
613,2844,최상위
794,1705,중위
609,2000,중위
770,1735,중위
607,2210,상위
628,2936,최상위
560,1536,중위
546,1604,중위
760,1889,중위
721,1376,하위
656,1618,중위
686,2309,상위
763,1154,하위
756,2591,상위
605,1382,중위
724,2155,중위
791,2642,상위
650,1035,하위
559,2208,상위
614,1241,중위
688,1310,하위
618,1667,중위
738,1613,중위
611,1780,중위
612,1187,하위
645,2012,중위
730,2472,상위
694,2361,상위
654,1913,중위
637,1621,중위
669,1045,하위
579,1580,중위
713,1106,하위
522,2443,최상위
661,1600,중위
766,2017,중위
520,1664,중위
510,2796,최상위
538,2064,상위
588,1676,중위
689,1593,중위
756,1685,중위
595,2448,최상위
779,2455,중위
638,1172,하위
706,2015,중위
571,2021,상위
684,2578,상위
630,2971,최상위
784,2702,상위
594,1560,중위
750,2946,상위
530,2119,상위
631,2878,최상위
682,2275,상위
738,2125,중위
738,1103,하위
782,2503,중위
567,1390,중위
670,2484,상위
754,1912,중위
622,1699,중위
503,2940,최상위
692,1811,중위
612,1195,하위
756,2844,상위
717,1391,하위
667,2630,상위
789,2523,중위
523,2100,최상위
584,2038,상위
712,2464,상위
796,1165,하위
705,1595,중위
782,1910,중위
587,2720,최상위
797,2289,중위
544,2761,최상위
699,1288,하위
595,2435,최상위
528,2570,최상위
639,1290,중위
680,2468,상위
525,1246,중위
780,1153,하위
783,2312,중위
679,2227,중위
549,1865,상위
512,2384,최상위
752,1519,중위
757,2808,상위
506,1613,중위
522,1215,중위
739,2255,중위
586,1779,중위
710,1178,하위
650,1782,중위
673,2906,최상위
695,2314,중위
510,1845,상위
772,2219,중위
623,1378,중위
519,1977,상위
529,1297,중위
659,2899,최상위
535,1327,중위
565,2467,최상위
541,2034,상위
526,2840,최상위
557,2144,상위
533,2157,최상위
793,2427,중위
731,2811,상위
544,2241,최상위
722,1253,하위
690,2640,상위
746,1354,하위
766,2791,상위
578,1473,중위
718,2407,상위
670,1733,중위
524,1820,상위
564,1343,중위
705,1830,중위
745,1439,하위
707,1047,하위
746,1120,하위
717,2706,상위
742,1239,하위
559,1537,중위
511,2731,최상위
549,1772,중위
514,2804,최상위
641,2780,최상위
611,1525,중위
574,2953,최상위
790,1676,중위
638,2432,상위
678,1528,중위
575,2704,최상위
610,2116,상위
632,1652,중위
713,1623,중위
574,1648,중위
554,1538,중위
612,1131,하위
778,1795,중위
641,2065,중위
770,2256,중위
555,1571,중위
634,1431,중위
681,1045,하위
594,2658,최상위
750,1983,중위
746,2151,중위
580,2170,상위
580,2205,상위
615,2311,상위
513,2526,최상위
510,1057,중위
678,2167,중위
716,2682,상위
532,1891,상위
535,1951,상위
512,2551,최상위
660,1531,중위
645,1697,중위
593,1282,중위
721,2315,중위
638,2331,상위
782,2212,중위
769,2799,상위
535,2325,최상위
750,1479,하위
647,2270,상위
610,2342,상위
518,1733,상위
783,1060,극빈층
651,2129,중위
579,1531,중위
785,1537,하위
720,2976,최상위
578,2100,상위
529,2981,최상위
719,1619,중위
760,1893,중위
651,2731,최상위
532,2216,최상위
616,1807,중위
665,1725,중위
656,1792,중위
517,1256,중위
643,2052,중위
655,2974,최상위
705,2320,중위
622,2998,최상위
645,2190,상위
552,1376,중위
782,1614,중위
676,2464,상위
700,1861,중위
648,2578,상위
504,1071,중위
787,2191,중위
652,2473,상위
759,2323,중위
521,1741,상위
589,1542,중위
583,2296,상위
563,1524,중위
672,2739,최상위
655,1070,하위
744,1840,중위
777,2700,상위
770,1704,중위
591,2124,상위
560,1916,상위
510,1689,중위
698,2911,최상위
658,2053,중위
713,2928,최상위
758,2021,중위
637,2895,최상위
731,1379,하위
662,2766,최상위
590,1369,중위
572,1481,중위
607,1802,중위
507,1802,상위
684,1010,하위
596,2548,최상위
568,2068,상위
711,1760,중위
727,2411,중위
706,1110,하위
592,1438,중위
753,2656,상위
568,1027,하위
668,1336,중위
675,1879,중위
665,1922,중위
669,2314,상위
512,2092,최상위
783,2480,중위
646,2351,상위
573,1822,중위
556,2664,최상위
705,1965,중위
563,1555,중위
733,2091,중위
568,1326,중위
712,1298,하위
643,2564,상위
783,2933,상위
666,2122,중위
763,1685,중위
636,1897,중위
548,2787,최상위
536,2542,최상위
774,1747,중위
699,2259,중위
510,1479,중위
614,2685,최상위
649,1002,하위
515,2697,최상위
772,1308,하위
507,2751,최상위
537,1406,중위
525,1108,중위
751,2454,중위
760,2659,상위
562,1628,중위
742,1660,중위
662,1128,하위
577,1622,중위
793,1385,하위
722,1086,하위
751,2446,중위
536,2989,최상위
616,1765,중위
774,1305,하위
620,2902,최상위
613,2861,최상위
773,1375,하위
543,2919,최상위
731,2094,중위
555,2246,최상위
586,2322,상위
742,2597,상위
755,2001,중위
787,1222,하위
556,2182,상위
505,1556,중위
561,1833,중위
582,2560,최상위
608,2245,상위
550,2811,최상위
739,1377,하위
605,2488,최상위
504,1640,중위
649,1164,하위
753,1987,중위
582,1486,중위
645,1869,중위
692,1741,중위
683,2311,상위
571,1318,중위
655,2132,중위
708,1377,하위
799,1995,중위
706,2323,중위
521,1593,중위
538,2564,최상위
646,1131,하위
579,1723,중위
737,1974,중위
526,1369,중위
724,2104,중위
585,1419,중위
533,2509,최상위
756,1235,하위
657,1741,중위
615,2351,상위
602,2948,최상위
772,1989,중위
585,2912,최상위
659,2918,최상위
565,1203,중위
623,2820,최상위
689,2415,상위
691,1866,중위
760,1541,중위
504,1685,상위
623,1034,하위
706,1613,중위
684,2691,상위
549,1660,중위
631,1760,중위
599,2630,최상위
679,2217,중위
558,2593,최상위
524,2693,최상위
643,1461,중위
658,1797,중위
600,1032,하위
789,1032,극빈층
783,1426,하위
703,1974,중위
642,2777,최상위
564,2839,최상위
602,1553,중위
640,2635,최상위
638,2285,상위
522,1573,중위
762,1488,하위
739,1420,하위
557,2454,최상위
630,1010,하위
586,1174,중위
514,1571,중위
586,1104,하위
775,1041,극빈층
673,2165,중위
550,1869,상위
516,1011,하위
610,1474,중위
625,2625,최상위
769,1298,하위
520,1986,상위
545,1709,중위
561,1341,중위
764,2642,상위
671,1941,중위
575,2504,최상위
800,1336,하위
611,1527,중위
729,1564,중위
601,1767,중위
688,2565,상위
582,1019,하위
757,2470,중위
628,1812,중위
774,1803,중위
685,2258,중위
525,1800,상위
601,2487,최상위
751,2057,중위
646,1448,중위
613,1421,중위
570,1687,중위
769,2043,중위
775,2698,상위
512,2926,최상위
647,2818,최상위
719,2784,상위
614,1866,중위
668,1216,하위
689,1205,하위
683,1390,중위
767,1734,중위
617,1071,하위
518,2535,최상위
552,1129,중위
725,2443,상위
617,2548,최상위
669,2898,최상위
608,2090,상위
546,1041,하위
682,2375,상위
510,1437,중위
799,1689,중위
624,1217,하위
728,1227,하위
573,2106,상위
699,2107,중위
781,2948,상위
775,1835,중위
585,1108,하위
646,2242,상위
514,2305,최상위
782,2292,중위
531,1952,상위
534,1562,중위
692,2295,중위
736,1130,하위
675,2683,상위
707,1802,중위
510,1356,중위
687,2960,최상위
702,1910,중위
530,2206,최상위
610,2539,최상위
771,2378,중위
612,2199,상위
618,2043,중위
729,1434,하위
610,1762,중위
545,2725,최상위
667,2878,최상위
656,2091,중위
660,1259,하위
597,2679,최상위
529,1569,중위
653,2414,상위
654,2552,상위
650,2301,상위
521,2806,최상위
630,2378,상위
745,1514,중위
623,1666,중위
545,1659,중위
787,1070,극빈층
784,2306,중위
768,1952,중위
729,1415,하위
708,2715,상위
626,2651,최상위
727,2761,상위
595,2987,최상위
521,2935,최상위
787,1042,극빈층
606,1384,중위
509,2169,최상위
765,2228,중위
726,1808,중위
629,2437,상위
533,2617,최상위
664,2971,최상위
537,1599,중위
599,2180,상위
590,2899,최상위
783,2372,중위
504,2173,최상위
781,1864,중위
723,1667,중위
714,1196,하위
652,2064,중위
771,1239,하위
588,2568,최상위
565,1300,중위
608,1983,중위
523,1192,중위
608,1404,중위
654,1441,중위
513,2104,최상위
518,2373,최상위
765,2795,상위
595,2673,최상위
521,1569,중위
568,2731,최상위
549,2903,최상위
695,2446,상위
610,1351,중위
714,1970,중위
570,1616,중위
684,1799,중위
536,2154,최상위
702,2405,상위
641,2087,중위
757,2285,중위
517,2379,최상위
601,1267,중위
704,2289,중위
732,2198,중위
784,1608,중위
730,2426,중위
615,2368,상위
739,1601,중위
531,1599,중위
573,1962,상위
608,1096,하위
539,2146,상위
727,2730,상위
766,1768,중위
765,2233,중위
563,2168,상위
632,1273,중위
665,1773,중위
781,1793,중위
604,1046,하위
555,2114,상위
743,1860,중위
584,1095,하위
599,1143,하위
575,1351,중위
553,1546,중위
675,2204,중위
769,2185,중위
540,2907,최상위
764,2684,상위
696,2117,중위
581,2752,최상위
786,2576,중위
704,2500,상위
561,1678,중위
619,1478,중위
761,1352,하위
533,2151,최상위
724,1861,중위
533,1805,상위
692,2467,상위
710,1866,중위
777,2266,중위
525,1873,상위
584,2744,최상위
673,2345,상위
661,1363,중위
787,2518,중위
714,2013,중위
540,2428,최상위
631,2366,상위
504,2664,최상위
594,1289,중위
753,2774,상위
626,2656,최상위
633,2969,최상위
672,1459,중위
512,1315,중위
785,2245,중위
690,1482,중위
739,2545,상위
649,1322,중위
540,1402,중위
749,2550,상위
517,2801,최상위
618,2015,중위
628,1117,하위
753,1445,하위
702,2087,중위
774,2325,중위
576,2794,최상위
616,2407,상위
549,2577,최상위
624,1173,하위
576,2972,최상위
741,1387,하위
748,1927,중위
698,2940,최상위
574,2045,상위
662,2987,최상위
719,1468,중위
749,2921,상위
546,2467,최상위
604,2241,상위
751,2617,상위
519,1083,중위
663,2133,중위
620,1497,중위
722,1624,중위
734,1523,중위
707,1353,하위
641,1729,중위
799,2829,상위
721,2244,중위
607,2602,최상위
702,1052,하위
671,1284,하위
617,2788,최상위
696,1141,하위
583,2422,최상위
532,2558,최상위
587,2711,최상위
787,2748,상위
634,2550,최상위
625,1825,중위
700,1648,중위
500,2773,최상위
660,1516,중위
505,2795,최상위
678,1742,중위
776,1208,하위
546,2712,최상위
561,1609,중위
565,1284,중위
522,2804,최상위
645,2662,최상위
633,2591,최상위
